seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-DPM,0.33726724208551856,0.8176864242761956,0.2757788452064017,0.33726724208551856,0.33726724208551856,0.33726724208551856,0.33705878484911134,0.3366471187572192,0.3364247877931645,0.33600067604522765,0.3343973051357575,0.33030961651990826,0.3261677529355783,0.3225894999509372,0.316146214340091,0.30611041734788624,0.29322356476196243,0.2665278936342295,0.21729398986039944,0.14948600395226952,0.07060473404947898,0.012350921116271913,0.2791126845950552,0.1872552700745588,0.1872552700745588,0.1872552700745588,0.18719158978759923,0.18706424970503058,0.18700058990722368,0.18687329079307202,0.18630078250616358,0.18458656676478458,0.18230863735911543,0.1789709172259508,0.17484076433121018,0.16820604845094211,0.16030614384566996,0.14535575679172058,0.11770943796394485,0.07881269191402251,0.03492775985411699,0.005405405405405406,0.15408560225419204,0.6074552269673406,0.6074552269673406,0.6074552269673406,0.6069109438777024,0.6058414835878152,0.6052474909187633,0.604133709123056,0.6002205475350454,0.5910746631121793,0.5835455993534977,0.5814575188616536,0.5716540374545213,0.5570762078524547,0.5363491184373291,0.488712106441631,0.40112907551146526,0.28353384251860686,0.1427239677270646,0.028220871697768716,0.5057998349953987,0.18788009256767665,0.18788009256767665,0.18788009256767665,0.18782627415101447,0.18771863731769012,0.18766481890102793,0.18755718206770358,0.18707281631774395,0.18561971906786504,0.1836822560680265,0.18082987998493083,0.17727786448522684,0.1715192939023734,0.16457671815295194,0.15117593240406868,0.12545072923954578,0.08702437974274797,0.040202357246649806,0.006404391582799634,0.1565917646492314,0.9825499577821559,0.9825499577821559,0.9825499577821559,0.9822685054883197,0.9817056009006473,0.9814241486068112,0.9808612440191388,0.978328173374613,0.9707289614410357,0.9605966788629328,0.9456797072896144,0.9271038558964255,0.8969884604559527,0.8606811145510835,0.7905994933858711,0.65606529693217,0.4551083591331269,0.21024486349563748,0.03349282296650718,0.818922482112966,0.6086593628141639,0.6086593628141639,0.6086593628141639,0.60833281187295,0.6076849206907916,0.6073317674031254,0.6066572899694102,0.6043139041571204,0.5987665004180208,0.5946953032060456,0.5955199876407125,0.5903445654571293,0.5821142592188641,0.5700701379635498,0.539401878169389,0.47682849386619575,0.37469742773604076,0.2105391631198515,0.04667074553575251,0.5284182760456548,0.9924021189799525,0.9924021189799525,0.9924021189799525,0.9921145068127905,0.9915453784740924,0.9912575271289839,0.9906904953828153,0.9881431143315087,0.9815461830679931,0.9735711300266663,0.9686009594803353,0.9565436785329032,0.9360875065669919,0.911527951253526,0.8535290002667726,0.7303808473867441,0.5486733591491061,0.3285322570571887,0.07436817997115151,0.8523325490436541,0.8176864242761956,0.8176864242761956,0.8176864242761956,0.8178639639571412,0.818196569030435,0.8183482177039276,0.8186287224491474,0.8197515529131504,0.8227811223363174,0.8263951798127056,0.8311698304350477,0.8363483006429412,0.8433351586905526,0.8502358285758024,0.8612287253896368,0.8784310147606361,0.9007834042986204,0.9297661976077953,0.9618210364216749,0.8467444262028484,0.33782946033959643,0.33782946033959643,0.33782946033959643,0.33762971037813644,0.33723543368043696,0.3370217511876218,0.3366149373917178,0.3350894630380956,0.33123271715670793,0.3273942152937635,0.32426053313977093,0.31834196547784177,0.30911052686808455,0.2971036480702392,0.27181153097039507,0.2243255113492403,0.1570807333228991,0.07574853093111951,0.013443865261168694,0.2814175502387383,3491.0,3491.0,3491.0,3490.0,3488.0,3487.0,3485.0,3476.0,3449.0,3413.0,3360.0,3294.0,3187.0,3058.0,2809.0,2331.0,1617.0,747.0,119.0,2909.6315789473683,15090.0,15090.0,15090.0,15091.0,15093.0,15094.0,15096.0,15105.0,15132.0,15168.0,15221.0,15287.0,15394.0,15523.0,15772.0,16250.0,16964.0,17834.0,18462.0,15671.368421052632,62.0,62.0,62.0,63.0,65.0,66.0,68.0,77.0,104.0,140.0,193.0,259.0,366.0,495.0,744.0,1222.0,1936.0,2806.0,3434.0,643.3684210526316,3553,18581,40,62
MOT17-04-DPM,0.36579542486030037,0.8030394266511338,0.2937481482514235,0.36579542486030037,0.3656853776403856,0.3655610410253523,0.36511769683299106,0.3648629365896611,0.3642463724060684,0.3635600227977944,0.3619392074229815,0.35534287751183485,0.3435401869180592,0.33173918727602425,0.32593896816855433,0.31905831272325613,0.308616183627378,0.29268282562230935,0.26429030245971924,0.20089317468203055,0.10361836132688035,0.015336128750137418,0.3040960309811431,0.25755377531066675,0.25747445439636685,0.25739514348785875,0.25713084603258013,0.25697232088438665,0.2565497825493203,0.25596925596925596,0.2545729149186105,0.2493837476498851,0.23838906719122063,0.22359295402933776,0.21607938024846993,0.2097821469749378,0.1998074145402022,0.18631359714370724,0.1622456713111409,0.1171339447484917,0.05408977951673452,0.007377463365336029,0.20620071896150052,0.5195275925865489,0.5193750025939599,0.5191818031401312,0.5184556213210476,0.5180517576316118,0.5171527276016075,0.5163740843650702,0.5145873036487721,0.5063223317008687,0.4950724520140305,0.4921930069411635,0.49165362677651486,0.48525676939502727,0.47667875096579054,0.45977984284306134,0.4305160403342825,0.3445463031274247,0.1984989567344446,0.03188044906409084,0.4502686538308131,0.2575646066825073,0.2575015244864058,0.25743844229030427,0.2572281683032992,0.25710200391109617,0.25676556553188806,0.2563029627604769,0.25518851062935005,0.2510250856866497,0.24208844123893433,0.22980844039783838,0.22345816599028534,0.21807515192295562,0.20943289105704732,0.19751035599386,0.17555775175053095,0.1318628172508779,0.06453308661185525,0.009210000630821962,0.2109291564803676,0.9998367480205698,0.9995918700514244,0.999346992082279,0.9985307321851278,0.998040976246837,0.996734960411395,0.9949391886376623,0.9906130111827606,0.9744510652191658,0.9397600195902376,0.8920904415966043,0.8674393927026365,0.8465431393355645,0.812994857562648,0.7667129213941719,0.6814953881315811,0.5118765815035508,0.25051016243571955,0.03575218349522488,0.8188031911465874,0.519563083443204,0.5194624187917996,0.5193353841923556,0.5188570178410161,0.5185894197704057,0.5179946198919323,0.5174921317350587,0.5163806117614232,0.510896428375636,0.503136710042266,0.5023631408609903,0.503820152811493,0.5000774347569514,0.4954543954825298,0.48607683673712293,0.46849945834735857,0.4077485441215804,0.277924587813205,0.05484464546912712,0.4662377380129186,0.9998373850992979,0.9995958527689146,0.9993549043123364,0.998548706904218,0.9980707344797767,0.9968169646859024,0.9951493820440277,0.9910214654727917,0.9775433408901888,0.9572708871624099,0.9548518489186143,0.9545735681591233,0.9406787812461244,0.9178573162057013,0.8842804505063623,0.816857899428892,0.6686454639868022,0.4030929752716809,0.07801318439071986,0.8701084795754677,0.8030394266511338,0.803218847032156,0.8033792900017586,0.8038907594004455,0.8041737808173721,0.8048572853089472,0.8057260791642777,0.8075905780902766,0.8138894480512113,0.8262724355977326,0.842491526107685,0.8502033370681585,0.855681606177802,0.8630862633277929,0.8713506445912313,0.8829287619128194,0.9013250765673382,0.9276959167164204,0.9611751307567125,0.8437882207021721,0.36580311650567493,0.3657046006657226,0.3655917869234302,0.36518678757447126,0.3649549903984777,0.36439952328314756,0.36379693197647495,0.3623765549906661,0.356510317803391,0.3461954913172812,0.33631846113448965,0.3314574146733668,0.3253036177288276,0.3159623536439552,0.3013491006104615,0.274918948298635,0.21314982102680072,0.11318016772962841,0.017135313127899475,0.30785764733751586,12249.0,12246.0,12243.0,12233.0,12227.0,12211.0,12189.0,12136.0,11938.0,11513.0,10929.0,10627.0,10371.0,9960.0,9393.0,8349.0,6271.0,3069.0,438.0,10031.157894736842,35308.0,35311.0,35314.0,35324.0,35330.0,35346.0,35368.0,35421.0,35619.0,36044.0,36628.0,36930.0,37186.0,37597.0,38164.0,39208.0,41286.0,44488.0,47119.0,37525.84210526316,2.0,5.0,8.0,18.0,24.0,40.0,62.0,115.0,313.0,738.0,1322.0,1624.0,1880.0,2291.0,2858.0,3902.0,5980.0,9182.0,11813.0,2219.842105263158,12251,47557,81,83
MOT17-05-DPM,0.5573985413666392,0.7415514396710057,0.41333969082094996,0.5573985413666392,0.5563400084475749,0.5558977239112363,0.5543286081103256,0.5502681808879128,0.5450047001058623,0.535657493122141,0.5271518401249895,0.5183830152463628,0.5057163914437648,0.4894350145433808,0.4566530764774318,0.40346819304497294,0.3462125258884172,0.2757896075725975,0.20915016505837358,0.13101617789908354,0.05409257452985201,0.007021657331334607,0.40942028921643436,0.5245854361932227,0.5232675407001873,0.522828748379663,0.521294964028777,0.5173650975889782,0.5115082201572552,0.5027003979533826,0.49272906960327545,0.4814347765167437,0.466842397336293,0.44776119402985076,0.4155844155844156,0.36408205392852533,0.30241438778024143,0.23156668608037273,0.16970903861046577,0.10342308495094969,0.03921761352467073,0.004083570750237417,0.3759157207209215,0.5922641241668367,0.5915027799838014,0.5910583157628702,0.5894555423953187,0.5852638152607832,0.5806947208906315,0.5707752591922645,0.5639794355362612,0.5581668869875772,0.5478274253455874,0.5349874813964106,0.5017802026167295,0.4471150968372996,0.39635387046842535,0.32845790097219896,0.2577575826373651,0.16597105839015766,0.07460950211636216,0.012073666576198917,0.4468470877648989,0.5259505565996819,0.5250831285239266,0.5247939858320081,0.5237819864102935,0.5211797021830273,0.5172762758421281,0.5113488506577997,0.5045539973977158,0.4967471447159173,0.4864825791528119,0.472748301286685,0.4487494578574526,0.4079803382969495,0.3549226543299118,0.287407835766951,0.22177244470146018,0.1432702038455978,0.05768396703773312,0.0062165678762469275,0.396734209384963,0.9950765864332604,0.9934354485776805,0.9928884026258206,0.9909737417943107,0.9860503282275711,0.9786652078774617,0.9674507658643327,0.9545951859956237,0.9398249452954048,0.9204048140043763,0.8944201312910285,0.849015317286652,0.7718818380743983,0.6714989059080962,0.5437636761487965,0.4195842450765864,0.27106126914660833,0.10913566739606127,0.011761487964989058,0.7506046297362662,0.6470730969159549,0.6466995283236125,0.6464105271241534,0.6455471549715956,0.6431275458168078,0.6407879152850614,0.6335347344566816,0.6275190941693946,0.6229011085394541,0.6155834288148765,0.6067899039618018,0.5839389018507204,0.5405651725278195,0.5012676861508354,0.4400030231856169,0.37181552105381277,0.2653491286154434,0.13238391220723608,0.027734640579668863,0.5178437907658183,0.8701445159956119,0.8693688929750952,0.8688403116013408,0.867371064502987,0.863385753766377,0.8588517802014001,0.8515676854471231,0.8439603912058984,0.8364296444271385,0.823353553496577,0.808212156764293,0.7757924129307124,0.7195954034277398,0.6539770165503285,0.5704874549715092,0.4711088491608561,0.3320151175330098,0.1697730587492869,0.030128816682785296,0.6886507305468458,0.7415514396710057,0.7426590477443132,0.742995852900802,0.744085039484398,0.7466525991697974,0.750183135047936,0.7551602991392076,0.760300282966712,0.7655627824946316,0.7716686970562087,0.7787747143930099,0.7895596151908278,0.805959136228394,0.8254849908402031,0.8490193706114758,0.8707743279406962,0.8956820872833015,0.9267393156705189,0.9618420771057311,0.8012976216283774,0.5581233248660827,0.5573043425674111,0.5569415134359713,0.555649345267658,0.5522930571138092,0.5480689761549087,0.5402455671006215,0.533439854763335,0.5265622540460444,0.5162446114128125,0.5029059783297422,0.4745245977690304,0.42709971723867346,0.3750666177635482,0.3072480666480673,0.23908895675423217,0.15420346094698234,0.06560314063199958,0.008663530907552324,0.42101457440623596,3638.0,3632.0,3630.0,3623.0,3605.0,3578.0,3537.0,3490.0,3436.0,3365.0,3270.0,3104.0,2822.0,2455.0,1988.0,1534.0,991.0,399.0,43.0,2744.2105263157896,3279.0,3285.0,3287.0,3294.0,3312.0,3339.0,3380.0,3427.0,3481.0,3552.0,3647.0,3813.0,4095.0,4462.0,4929.0,5383.0,5926.0,6518.0,6874.0,4172.789473684211,18.0,24.0,26.0,33.0,51.0,78.0,119.0,166.0,220.0,291.0,386.0,552.0,834.0,1201.0,1668.0,2122.0,2665.0,3257.0,3613.0,911.7894736842105,3656,6917,101,133
MOT17-09-DPM,0.5350301184407044,0.7802811091208613,0.4174738942299786,0.5350301184407044,0.5350301184407044,0.5316725795214485,0.5277596209244367,0.5235672074372296,0.5172819263132626,0.5112740820675495,0.5033411143455323,0.4932505687022149,0.48382511996900507,0.4767948691875302,0.4642141153749475,0.4447567987497568,0.41064935500950683,0.34270003922444514,0.2707162073468753,0.17702932410052494,0.08977118232249055,0.014569740445775881,0.41332810989073376,0.5846153846153846,0.5846153846153846,0.5825370058085066,0.5795773330839723,0.5748648144695133,0.5678485242249861,0.5606060606060606,0.5500091759955955,0.5387137912188013,0.5264774986444967,0.5174272367948257,0.5007107320540156,0.47348220516399164,0.43007111412123267,0.34233947870311504,0.2581558170713541,0.15571975916803504,0.06668350593584238,0.01028708133971292,0.44235483703341194,0.48965052096089,0.48965052096089,0.4852493987444861,0.480574725026298,0.4768471017948456,0.47121825605791673,0.4662831984217572,0.46063281931978356,0.45162408590769215,0.44462820788299057,0.43935326770147975,0.4303777233400661,0.4177741166969944,0.3921046711409409,0.34306097949715547,0.28388771460462514,0.2012550093766251,0.12085245162921468,0.020635331795986516,0.38766632109792837,0.5851643192488263,0.5851643192488263,0.583849765258216,0.5819718309859155,0.5789671361502348,0.5744600938967136,0.5697652582159625,0.5628169014084508,0.5553051643192488,0.5470422535211268,0.5408450704225352,0.5292018779342723,0.5096713615023474,0.47699530516431926,0.40450704225352113,0.3254460093896714,0.21370892018779342,0.09915492957746479,0.016150234741784036,0.4652730417593279,0.9983979493752002,0.9983979493752002,0.9961550785004806,0.9929509772508811,0.987824415251522,0.9801345722524831,0.9721243191284845,0.9602691445049664,0.9474527395065684,0.9333546940083307,0.9227811598846524,0.9029157321371355,0.8695930791413009,0.8138417173982698,0.6901634091637295,0.5552707465555912,0.36462672220442166,0.16917654597885293,0.02755527074655559,0.7938413801244542,0.5718970401807197,0.5718970401807197,0.5694094744261826,0.5665409024418194,0.5645290024235118,0.561130122551646,0.5579815972881044,0.55482362866597,0.54872128373787,0.5438620383730093,0.5402620437553177,0.5345519615583387,0.5267860306732509,0.509596278618039,0.4678481759270477,0.4121693382739143,0.31561444198239663,0.20597150235836117,0.03898567022873978,0.4822409249286822,0.8456100904214257,0.8456100904214257,0.8431000487236361,0.8396387861705572,0.8353908850166892,0.8286090463352437,0.8220281889162131,0.8133052110488148,0.8019986337868984,0.7922775926718778,0.784699852038924,0.7709768922396081,0.7438829222240246,0.7021265871220681,0.6184340511036743,0.5217428709030797,0.3824168755487665,0.22604360762975215,0.04640186860310178,0.6875944263645148,0.7802811091208613,0.7802811091208613,0.781753076174513,0.7837105007356746,0.7865823461882927,0.7905903920776881,0.7944373061803931,0.7996081719781148,0.8046523597260999,0.8096336867521391,0.8128612613357504,0.8179970284128911,0.8252666167943689,0.8353087898295373,0.8546949845185488,0.8738529065973614,0.899136928439787,0.9277623325141203,0.9598447005375175,0.8272766108965538,0.5352812473531203,0.5352812473531203,0.5322713100935074,0.5288487048760804,0.5254320135923403,0.5202846178976239,0.5154337658230564,0.5091678859242788,0.5007885654001113,0.4931839583962268,0.48746492079982306,0.47723861894511393,0.46144068184046977,0.4324720653027524,0.3725192372602927,0.30395743753497656,0.20738850193842182,0.10946742132049495,0.018255559495117705,0.4245356716393121,3116.0,3116.0,3109.0,3099.0,3083.0,3059.0,3034.0,2997.0,2957.0,2913.0,2880.0,2818.0,2714.0,2540.0,2154.0,1733.0,1138.0,528.0,86.0,2477.5789473684213,2209.0,2209.0,2216.0,2226.0,2242.0,2266.0,2291.0,2328.0,2368.0,2412.0,2445.0,2507.0,2611.0,2785.0,3171.0,3592.0,4187.0,4797.0,5239.0,2847.4210526315787,5.0,5.0,12.0,22.0,38.0,62.0,87.0,124.0,164.0,208.0,241.0,303.0,407.0,581.0,967.0,1388.0,1983.0,2593.0,3035.0,643.421052631579,3121,5325,37,26
MOT17-10-DPM,0.3746560222123065,0.7583951222111261,0.2841372997528366,0.3746560222123065,0.3746560222123065,0.3746560222123065,0.3743507959558532,0.3736357149943272,0.3709900115790729,0.36681099142672335,0.3619004075004504,0.355860861710724,0.3483922122784922,0.3394971464160158,0.32537947634382114,0.30445412051753645,0.272355463202085,0.2268609409996997,0.1656094506398036,0.1015696585753047,0.04019470836675369,0.0061842179468334126,0.2872639076363377,0.3512103993150152,0.3512103993150152,0.3512103993150152,0.3511052303860523,0.3505796312145025,0.34869085541138994,0.34545031778018914,0.34149922720247294,0.3360270915108135,0.32754665035178954,0.3151753920751572,0.29748112713954705,0.2739615441068545,0.23657216127653513,0.18970598314029197,0.1298489976568602,0.07213884256685812,0.02612756398888692,0.0035264192392184066,0.2631088543680244,0.3996667958970292,0.3996667958970292,0.3996667958970292,0.3991353768176387,0.398208096219673,0.39471522282699034,0.38949248707037054,0.38352035529304307,0.3768653066874038,0.37056441714772925,0.36569578502224254,0.35589418610786444,0.3383405937584925,0.31355125614004237,0.2712929012534571,0.21121834312263973,0.14300750020410646,0.061835637695713375,0.010845151701932345,0.31490436867160143,0.3514292390373082,0.3514292390373082,0.3514292390373082,0.35135135135135137,0.3509619129215671,0.3495599345743438,0.34714541630968143,0.34418568424332113,0.3400576368876081,0.3335929589531895,0.3240127735804969,0.30999299010826387,0.2907547316769219,0.25866500506269957,0.2155931147285614,0.1553859334839162,0.09097281719760106,0.034426357192927796,0.004751148843367864,0.27135249916988124,0.9982300884955753,0.9982300884955753,0.9982300884955753,0.9980088495575221,0.9969026548672566,0.9929203539823008,0.9860619469026549,0.9776548672566372,0.965929203539823,0.9475663716814159,0.9203539823008849,0.8805309734513275,0.8258849557522124,0.7347345132743363,0.6123893805309735,0.4413716814159292,0.2584070796460177,0.09778761061946903,0.013495575221238938,0.7707731718677223,0.4456739334513717,0.4456739334513717,0.4456739334513717,0.4453508228610369,0.4445029970511843,0.4415939772722799,0.4378606957438023,0.433764556785869,0.42825688319271044,0.4236905469573591,0.4211030659866048,0.41449526140862375,0.40114271993494216,0.3840482309607556,0.3507918571672054,0.29881595524407845,0.22420866231807096,0.1098774022038378,0.01808642118415321,0.3691900977171911,0.8740048759438799,0.8740048759438799,0.8740048759438799,0.8737567628054851,0.8729885955575126,0.8711367658140597,0.8647308168606,0.8572470742558714,0.849219735895491,0.835264124611414,0.8181573200459725,0.7965595816918438,0.7623588047675358,0.699927213388238,0.6107879081498714,0.46874673023593183,0.3124832258247172,0.14910084251266092,0.033249821670881634,0.6998805237852489,0.7583951222111261,0.7583951222111261,0.7583951222111261,0.7585218768950176,0.7591137106467483,0.7610207352467603,0.7640464783238535,0.7674025158464609,0.7715393032746976,0.7772671265472242,0.7846440110705906,0.7940475106252692,0.8049832127210903,0.821004008148116,0.8399228798202303,0.864911128235689,0.893170346121724,0.9253274737923869,0.9604907409567404,0.8064525486792619,0.37477272839758785,0.37477272839758785,0.37477272839758785,0.37448198089762375,0.3738393708400867,0.37145205271595994,0.3677098469901737,0.3633210920216134,0.35798872275120935,0.35159306079482716,0.3442239178089662,0.3321516263903036,0.3136465025369499,0.28478893457590637,0.2418447468624879,0.18116390207499253,0.11406048910097691,0.04613865787563721,0.007178226101536847,0.29210006923852716,4512.0,4512.0,4512.0,4511.0,4506.0,4488.0,4457.0,4419.0,4366.0,4283.0,4160.0,3980.0,3733.0,3321.0,2768.0,1995.0,1168.0,442.0,61.0,3483.8947368421054,8327.0,8327.0,8327.0,8328.0,8333.0,8351.0,8382.0,8420.0,8473.0,8556.0,8679.0,8859.0,9106.0,9518.0,10071.0,10844.0,11671.0,12397.0,12778.0,9355.105263157895,8.0,8.0,8.0,9.0,14.0,32.0,63.0,101.0,154.0,237.0,360.0,540.0,787.0,1199.0,1752.0,2525.0,3352.0,4078.0,4459.0,1036.1052631578948,4520,12839,67,57
MOT17-11-DPM,0.5931444257927215,0.8094876710166905,0.48014309981148234,0.5931444257927215,0.5927838697016772,0.5916321338106622,0.590748806456717,0.5865335840151207,0.5808185218094716,0.5746146305140044,0.5660812439857258,0.5564071296743499,0.5511144267325871,0.544555254261144,0.5314232612510936,0.515786138907684,0.491948749293794,0.4571250655983592,0.39493251311801475,0.2916701340781941,0.16152551650700958,0.026710932761439668,0.48418717569840897,0.5940916736753574,0.5935890698896479,0.5922503412790087,0.5912477699653689,0.5860878661087866,0.5793146547234663,0.5701563632598116,0.552154775309653,0.5389221556886228,0.5330098068951572,0.5254527162977867,0.5101085549248083,0.4900746855345912,0.46121229642478556,0.42162010125632854,0.35118517198360366,0.24083469721767595,0.12185557857354247,0.019224305975667138,0.4669680307886142,0.5921986882469424,0.5919797617631692,0.5910145716445592,0.5902502640314005,0.5869796408884657,0.5823262928467992,0.579107758638286,0.5803589665827249,0.5744593921117662,0.5698340019708702,0.5643522542480542,0.5536285950749764,0.5428465271555409,0.524733563714071,0.4956199312500584,0.4441294859823779,0.3532359252882103,0.2141099553116483,0.03711311762771667,0.50359361549356,0.5988766426451886,0.5985587113183553,0.5977108944467995,0.5970750317931327,0.5937897414158542,0.589444679949131,0.5835099618482408,0.5716405256464604,0.562738448495125,0.5587113183552352,0.5535184400169564,0.5428147520135651,0.5285078423060618,0.5072064434082239,0.47657905892327257,0.4176557863501484,0.31189063162356934,0.1745442984315388,0.030309453158117845,0.49447803484973557,0.9867295268028636,0.9862056923345556,0.9848088004190676,0.9837611314824516,0.9783481753099353,0.9711891042430592,0.9614108608346429,0.9418543740178104,0.927187008905186,0.9205517723066178,0.9119958093242535,0.894360048891217,0.8707874978173564,0.8356905884407194,0.785227867993714,0.6881438798672953,0.5138816134101624,0.28758512310110007,0.049938885978697396,0.8147188295516162,0.6190984288779302,0.6190359887011816,0.6185781826174505,0.6180921276780807,0.6161276014823666,0.61335452234645,0.6122552487392063,0.6157090504739066,0.6129591648408542,0.6098867586314475,0.6060252136073618,0.5993120591405118,0.5923244013194562,0.5798435532885883,0.5607942696574307,0.521481203611727,0.445544776971265,0.30267892881545566,0.060649601258727426,0.5486184780031261,0.9183897030953766,0.9178477653731848,0.9164885592415648,0.9155306986240724,0.910735649911385,0.9043108773133564,0.8969145120997293,0.8909298646158385,0.8859675527108255,0.8818905329648026,0.8762956542147723,0.862838040985658,0.8466723595831829,0.8206117455073513,0.7838913862086921,0.7191047002728352,0.6075413144980703,0.422006895861298,0.09335695771564476,0.7932276195156652,0.8094876710166905,0.8098702772159919,0.8108474394707523,0.8115125129832975,0.8147552251406729,0.8187477719799,0.8237154438323505,0.8330105914333411,0.8395119580353206,0.8421497698749447,0.8451259343923401,0.85038082052565,0.8564602531316816,0.8639458956652594,0.8727544372665923,0.8862653773421818,0.9064665970281672,0.930491010050531,0.9619247136184301,0.8519696684212682,0.5955283051175767,0.5952601476056578,0.5943533025471983,0.5936528406084262,0.5903748717378925,0.5858746754324217,0.5813046930388972,0.5759832503823227,0.5685687179580213,0.5642452538433838,0.5589090976101889,0.5481950095935221,0.535629206420182,0.515895575275013,0.48600625553460713,0.4306892728049507,0.3319201347467126,0.19331754172107551,0.03353920542125284,0.4989077556525949,5651.0,5648.0,5640.0,5634.0,5603.0,5562.0,5506.0,5394.0,5310.0,5272.0,5223.0,5122.0,4987.0,4786.0,4497.0,3941.0,2943.0,1647.0,286.0,4665.894736842105,3785.0,3788.0,3796.0,3802.0,3833.0,3874.0,3930.0,4042.0,4126.0,4164.0,4213.0,4314.0,4449.0,4650.0,4939.0,5495.0,6493.0,7789.0,9150.0,4770.105263157895,76.0,79.0,87.0,93.0,124.0,165.0,221.0,333.0,417.0,455.0,504.0,605.0,740.0,941.0,1230.0,1786.0,2784.0,4080.0,5441.0,1061.1052631578948,5727,9436,60,75
